time	V(vout)
2.849492724400176e-03	6.551329e-01
2.869023974400176e-03	6.551329e-01
2.888555224400176e-03	6.551329e-01
2.908086474400176e-03	6.551329e-01
2.927617724400176e-03	6.551329e-01
2.947148974400176e-03	6.551329e-01
2.966680224400176e-03	6.551329e-01
2.986211474400176e-03	6.551329e-01
3.005742724400176e-03	6.551329e-01
3.025273974400176e-03	6.551329e-01
3.044805224400176e-03	6.551329e-01
3.064336474400176e-03	6.551329e-01
3.083867724400176e-03	6.551329e-01
3.103398974400176e-03	6.551329e-01
3.122930224400176e-03	6.551329e-01
3.142461474400176e-03	6.551329e-01
3.161992724400176e-03	6.551329e-01
3.181523974400176e-03	6.551329e-01
3.201055224400176e-03	6.551329e-01
3.220586474400176e-03	6.551329e-01
3.240117724400176e-03	6.551329e-01
3.259648974400176e-03	6.551329e-01
3.279180224400176e-03	6.551329e-01
3.298711474400176e-03	6.551329e-01
3.318242724400176e-03	6.551329e-01
3.337773974400176e-03	6.551329e-01
3.357305224400176e-03	6.551329e-01
3.376836474400176e-03	6.551329e-01
3.396367724400176e-03	6.551329e-01
3.415898974400176e-03	6.551329e-01
3.435430224400176e-03	6.551329e-01
3.454961474400176e-03	6.551329e-01
3.474492724400176e-03	6.551329e-01
3.494023974400176e-03	6.551329e-01
3.513555224400176e-03	6.551329e-01
3.533086474400176e-03	6.551329e-01
3.552617724400176e-03	6.551329e-01
3.572148974400176e-03	6.551329e-01
3.591680224400176e-03	6.551329e-01
3.611211474400176e-03	6.551329e-01
3.630742724400176e-03	6.551329e-01
3.650273974400176e-03	6.551329e-01
3.669805224400176e-03	6.551329e-01
3.689336474400176e-03	6.551329e-01
3.708867724400176e-03	6.551329e-01
3.728398974400176e-03	6.551329e-01
3.747930224400176e-03	6.551329e-01
3.767461474400176e-03	6.551329e-01
3.786992724400176e-03	6.551329e-01
3.806523974400176e-03	6.551329e-01
3.826055224400176e-03	6.551329e-01
3.845586474400176e-03	6.551329e-01
3.865117724400177e-03	6.551329e-01
3.884648974400177e-03	6.551329e-01
3.904180224400177e-03	6.551329e-01
3.923711474400176e-03	6.551329e-01
3.943242724400176e-03	6.551329e-01
3.962773974400175e-03	6.551329e-01
3.982305224400175e-03	6.551329e-01
4.001836474400174e-03	6.551329e-01
4.021367724400174e-03	6.551329e-01
4.040898974400174e-03	6.551329e-01
4.060430224400173e-03	6.551329e-01
4.079961474400173e-03	6.551329e-01
4.099492724400172e-03	6.551329e-01
4.119023974400172e-03	6.551329e-01
4.138555224400172e-03	6.551329e-01
4.158086474400171e-03	6.551329e-01
4.177617724400171e-03	6.551329e-01
4.197148974400170e-03	6.551329e-01
4.216680224400170e-03	6.551329e-01
4.236211474400169e-03	6.551329e-01
4.255742724400169e-03	6.551329e-01
4.275273974400169e-03	6.551329e-01
4.294805224400168e-03	6.551329e-01
4.314336474400168e-03	6.551329e-01
4.333867724400167e-03	6.551329e-01
4.353398974400167e-03	6.551329e-01
4.372930224400167e-03	6.551329e-01
4.392461474400166e-03	6.551329e-01
4.411992724400166e-03	6.551329e-01
4.431523974400165e-03	6.551329e-01
4.451055224400165e-03	6.551329e-01
4.470586474400164e-03	6.551329e-01
4.490117724400164e-03	6.551329e-01
4.509648974400164e-03	6.551329e-01
4.529180224400163e-03	6.551329e-01
4.548711474400163e-03	6.551329e-01
4.568242724400162e-03	6.551329e-01
4.587773974400162e-03	6.551329e-01
4.607305224400162e-03	6.551329e-01
4.626836474400161e-03	6.551329e-01
4.646367724400161e-03	6.551329e-01
4.665898974400160e-03	6.551329e-01
4.685430224400160e-03	6.551329e-01
4.704961474400159e-03	6.551329e-01
4.724492724400159e-03	6.551329e-01
4.744023974400159e-03	6.551329e-01
4.763555224400158e-03	6.551329e-01
4.783086474400158e-03	6.551329e-01
4.802617724400157e-03	6.551329e-01
